,CustomerId,Profit,Recency,Frequency,Monetary,Variance,RFM_group_name,SegmentID,Segment_Name
728,762.0,29.0,7.0,7.0,415.96,4.0,Potential Loyalist,2,srebro
729,763.0,1259.0,3.0,9.0,67930.2,31.0,Loyal Custome,1,złoto
730,764.0,35.0,2.0,16.0,718.11,7.0,Uncertain,2,srebro
731,765.0,99.0,5.0,2.0,4103.49,7.0,Potential Loyalist,2,srebro
732,766.0,643.0,12.0,13.0,47816.01,38.0,Loyal Custome,1,złoto
733,767.0,680.0,51.0,1.0,3399.66,1.0,Hibernating,0,brąz
734,768.0,115.0,2.0,11.0,3170.0,11.0,Potential Loyalist,1,złoto
735,769.0,572.0,7.0,10.0,43445.58,42.0,Loyal Custome,1,złoto
736,770.0,90.0,41.0,6.0,1589.2,11.0,At Risk,0,brąz
737,771.0,245.0,11.0,4.0,20805.98,21.0,At Risk,2,srebro
738,772.0,749.0,5.0,13.0,45893.69,24.0,Champion,1,złoto
739,773.0,2290.0,2.0,27.0,146511.19,37.0,Champion,1,złoto
740,774.0,1113.0,6.0,18.0,57805.32,30.0,Loyal Custome,1,złoto
741,775.0,53.0,21.0,9.0,1323.2,8.0,Needs Attention,2,srebro
742,776.0,749.0,35.0,7.0,18613.41,14.0,At Risk,2,srebro
743,777.0,713.0,5.0,13.0,44982.08,38.0,Champion,1,złoto
744,778.0,1464.0,5.0,13.0,110315.39,38.0,Champion,1,złoto
745,779.0,1301.0,4.0,13.0,108995.11,50.0,Champion,1,złoto
746,780.0,66.0,5.0,7.0,2775.94,6.0,Potential Loyalist,2,srebro
747,781.0,12.0,33.0,2.0,126.14,2.0,Hibernating,0,brąz
748,782.0,1352.0,5.0,15.0,62524.44,47.0,Champion,1,złoto
749,783.0,304.0,6.0,10.0,5452.0,11.0,Loyal Custome,2,srebro
750,784.0,468.0,4.0,22.0,12570.79,18.0,Champion,1,złoto
751,785.0,639.0,4.0,29.0,16012.14,14.0,Champion,1,złoto
752,786.0,13.0,4.0,2.0,239.32,2.0,Potential Loyalist,2,srebro
753,787.0,24.0,43.0,1.0,195.06,1.0,Hibernating,0,brąz
754,788.0,44.0,5.0,4.0,1145.18,6.0,Potential Loyalist,2,srebro
755,789.0,244.0,4.0,18.0,4869.39,18.0,Loyal Custome,1,złoto
756,790.0,86.0,10.0,13.0,1389.97,10.0,Uncertain,2,srebro
757,791.0,10.0,35.0,1.0,191.52,2.0,Hibernating,0,brąz
758,792.0,235.0,7.0,9.0,4377.9,4.0,Loyal Custome,2,srebro
759,793.0,161.0,62.0,3.0,3226.87,6.0,Hibernating,0,brąz
760,794.0,75.0,24.0,3.0,1360.17,5.0,About To Sleep,0,brąz
761,795.0,73.0,6.0,4.0,2032.24,7.0,Potential Loyalist,2,srebro
762,796.0,1723.0,4.0,29.0,15160.78,27.0,Champion,1,złoto
763,797.0,1238.0,3.0,34.0,24602.59,44.0,Champion,1,złoto
764,798.0,77.0,5.0,6.0,1241.98,6.0,Potential Loyalist,2,srebro
765,799.0,390.0,47.0,3.0,2240.72,3.0,Hibernating,0,brąz
766,800.0,560.0,7.0,14.0,27237.69,32.0,Loyal Custome,1,złoto
767,801.0,364.0,3.0,17.0,10805.85,27.0,Champion,1,złoto
768,802.0,751.0,14.0,16.0,29301.48,30.0,Loyal Custome,1,złoto
769,803.0,40.0,12.0,1.0,2870.8,3.0,About To Sleep,0,brąz
770,804.0,40.0,59.0,1.0,247.98,1.0,Hibernating,0,brąz
771,806.0,170.0,14.0,3.0,1825.74,6.0,About To Sleep,2,srebro
772,807.0,5.0,58.0,1.0,191.7,2.0,Hibernating,0,brąz
773,808.0,187.0,11.0,12.0,6793.07,15.0,Loyal Custome,2,srebro
774,809.0,868.0,3.0,22.0,46744.22,44.0,Champion,1,złoto
775,810.0,6.0,49.0,1.0,49.99,1.0,Hibernating,0,brąz
776,811.0,216.0,47.0,2.0,2068.02,3.0,Hibernating,0,brąz
777,812.0,17.0,23.0,2.0,593.44,4.0,About To Sleep,0,brąz
778,813.0,323.0,6.0,10.0,10230.92,10.0,Loyal Custome,1,złoto
779,814.0,1028.0,7.0,13.0,82215.45,55.0,Loyal Custome,1,złoto
780,815.0,244.0,2.0,12.0,8753.54,21.0,Loyal Custome,1,złoto
781,816.0,59.0,5.0,4.0,1031.92,4.0,Potential Loyalist,2,srebro
782,817.0,62.0,5.0,6.0,554.03,5.0,Potential Loyalist,2,srebro
783,818.0,1376.0,3.0,33.0,73409.21,53.0,Champion,1,złoto
784,819.0,1764.0,7.0,17.0,93410.59,60.0,Loyal Custome,1,złoto
785,820.0,381.0,5.0,12.0,9793.63,8.0,Champion,1,złoto
